graph_id,stress,xing,xangle,iangle,ring
grafo3212.57,229.01672,30.0,12.602052,224.78967,243.13597
grafo3213.44,103.14473,15.0,11.6692505,182.00531,134.75267
grafo3214.33,72.99437,13.0,8.085835,136.14957,106.708046
grafo3215.58,157.53014,20.0,14.314759,225.83093,174.12799
grafo3216.40,105.58664,7.0,2.141546,159.81607,114.782974
grafo3217.60,127.66336,4.0,1.7741439,247.8138,138.30934
grafo3218.42,117.0904,11.0,4.182095,177.35086,128.00067
grafo3219.37,66.32368,15.0,5.6757402,158.3662,114.77164
grafo3220.36,81.28884,11.0,5.882502,151.8915,121.07044
grafo3221.48,143.66493,12.0,6.845108,192.21294,142.50119
grafo3222.44,77.348656,11.0,4.4228916,186.51584,130.72556
grafo3223.39,55.042297,3.0,2.1680179,171.84506,65.87971
grafo3224.98,935.3911,127.0,67.35837,422.2334,662.14923
grafo3225.37,107.25595,19.0,9.157669,147.69444,151.38326
grafo3226.55,234.93977,30.0,13.250062,226.59203,220.31078
grafo3227.43,160.87204,39.0,18.52993,172.63399,205.97475
grafo3228.40,111.167885,11.0,4.080012,175.18681,139.53584
grafo3229.40,94.94593,6.0,2.6611621,164.29965,120.544556
